study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB1220	ERP002061	SAMEA2042280	ERS199000	ERX183720	ERR209055	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209055/ERR209055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209055/ERR209055_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209055/ERR209055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209055/ERR209055_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0001_081026.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0001_081026.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0001_081026.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0001_081026.rmhost.pair.2.fq.gz		
PRJEB1220	ERP002061	SAMEA2042280	ERS199000	ERX183721	ERR209056	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209056/ERR209056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209056/ERR209056_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209056/ERR209056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209056/ERR209056_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0001_081123.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0001_081123.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0001_081123.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0001_081123.rmhost.pair.2.fq.gz		
PRJEB1220	ERP002061	SAMEA2042281	ERS199001	ERX183722	ERR209057	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209057/ERR209057_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209057/ERR209057_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209057/ERR209057_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209057/ERR209057_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0002_081203.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0002_081203.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0002_081203.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0002_081203.rmhost.pair.2.fq.gz		
PRJEB1220	ERP002061	SAMEA2042281	ERS199001	ERX183723	ERR209058	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209058/ERR209058_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209058/ERR209058_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209058/ERR209058_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209058/ERR209058_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0002_081224.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0002_081224.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0002_081224.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0002_081224.rmhost.pair.2.fq.gz		
PRJEB1220	ERP002061	SAMEA2042281	ERS199001	ERX183724	ERR209059	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209059/ERR209059_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209059/ERR209059_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209059/ERR209059_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209059/ERR209059_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0002_090117.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0002_090117.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0002_090117.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0002_090117.rmhost.pair.2.fq.gz		
PRJEB1220	ERP002061	SAMEA2042282	ERS199002	ERX183725	ERR209060	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209060/ERR209060_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209060/ERR209060_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209060/ERR209060_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209060/ERR209060_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0003_081203.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0003_081203.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0003_081203.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0003_081203.rmhost.pair.2.fq.gz		
PRJEB1220	ERP002061	SAMEA2042282	ERS199002	ERX183726	ERR209061	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209061/ERR209061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209061/ERR209061_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209061/ERR209061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209061/ERR209061_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0003_081224.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0003_081224.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0003_081224.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0003_081224.rmhost.pair.2.fq.gz		
PRJEB1220	ERP002061	SAMEA2042282	ERS199002	ERX183727	ERR209062	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209062/ERR209062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209062/ERR209062_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209062/ERR209062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209062/ERR209062_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0003_090107.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0003_090107.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0003_090107.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0003_090107.rmhost.pair.2.fq.gz		
PRJEB1220	ERP002061	SAMEA2042283	ERS199003	ERX183728	ERR209063	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209063/ERR209063_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209063/ERR209063_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209063/ERR209063_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209063/ERR209063_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0004_081026.rmhost.pair.2.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0004_081026.rmhost.pair.1.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0004_081026.rmhost.pair.2.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0004_081026.rmhost.pair.1.fq.gz		
PRJEB1220	ERP002061	SAMEA2042283	ERS199003	ERX183729	ERR209064	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209064/ERR209064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209064/ERR209064_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209064/ERR209064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209064/ERR209064_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0004_081123.rmhost.pair.2.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0004_081123.rmhost.pair.1.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0004_081123.rmhost.pair.2.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0004_081123.rmhost.pair.1.fq.gz		
